serial,plot_id,species,veg_lifeform_code,veg_structure_class_code,cover_percent
1139,76287_2,Plagiomnium sp.,mosses,mosses,1
1276,76287_3,Plagiomnium sp.,mosses,mosses,0.1
1346,76777_2,Plagiomnium sp.,mosses,mosses,0.1
1426,76749_5,Plagiomnium sp.,mosses,mosses,0.1
1558,76287_1,Plagiomnium sp.,mosses,mosses,3
1138,76287_2,Pleurozium schreberi,mosses,mosses,3
1129,76287_2,Poa arctica,grasses,grasses,0.1
1153,76215_2,Poa arctica,grasses,grasses,0.1
1188,76215_3,Poa arctica,grasses,grasses,0.1
1218,76215_1,Poa arctica,grasses,grasses,0.1
1266,76287_3,Poa arctica,grasses,grasses,0.1
1298,76777_3,Poa arctica,grasses,grasses,0.1
1384,76749_1,Poa arctica,grasses,grasses,0.1
1407,76749_5,Poa arctica,grasses,grasses,0.1
1493,76777_1,Poa arctica,grasses,grasses,0.1
1549,76287_1,Poa arctica,grasses,grasses,0.1
1130,76287_2,Polemonium acutiflorum,forbs,forbs,0.1
1189,76215_3,Polemonium acutiflorum,forbs,forbs,0.1
1219,76215_1,Polemonium acutiflorum,forbs,forbs,0.1
1267,76287_3,Polemonium acutiflorum,forbs,forbs,0.1
1292,76777_3,Polemonium acutiflorum,forbs,forbs,1
1327,76777_2,Polemonium acutiflorum,forbs,forbs,1
1358,76749_3,Polemonium acutiflorum,forbs,forbs,0.1
1380,76749_1,Polemonium acutiflorum,forbs,forbs,2
1408,76749_5,Polemonium acutiflorum,forbs,forbs,0.1
1469,76784_1,Polemonium acutiflorum,forbs,forbs,5
1484,76777_1,Polemonium acutiflorum,forbs,forbs,3
1154,76215_2,Polygonum bistorta ssp. plumosum,forbs,forbs,0.1
1190,76215_3,Polygonum bistorta ssp. plumosum,forbs,forbs,0.1
1268,76287_3,Polygonum bistorta ssp. plumosum,forbs,forbs,0.1
1155,76215_2,Polygonum viviparum,forbs,forbs,0.1
1191,76215_3,Polygonum viviparum,forbs,forbs,0.1
1220,76215_1,Polygonum viviparum,forbs,forbs,0.1
1164,76215_2,Polytrichum sp.,mosses,mosses,2
1199,76215_3,Polytrichum sp.,mosses,mosses,1
1232,76215_1,Polytrichum sp.,mosses,mosses,3
1370,76749_3,Polytrichum sp.,mosses,mosses,3
1420,76749_5,Polytrichum sp.,mosses,mosses,5
1432,76160_1,Polytrichum sp.,mosses,mosses,30
1443,76168_1,Polytrichum sp.,mosses,mosses,5
1561,76287_1,Polytrichum sp.,mosses,mosses,1
1409,76749_5,Potentilla palustris,forbs,forbs,0.1
1587,76176a_1,Potentilla palustris,forbs,forbs,5
1595,76172_1,Potentilla palustris,forbs,forbs,5
1372,76749_3,Ptilidium ciliare,liverworts,liverworts,0.1
1422,76749_5,Ptilidium ciliare,liverworts,liverworts,1
1119,76287_2,Pyrola asarifolia,forbs,forbs,1
1156,76215_2,Pyrola asarifolia,forbs,forbs,0.1
1254,76287_3,Pyrola asarifolia,forbs,forbs,1
1328,76777_2,Pyrola asarifolia,forbs,forbs,1
1550,76287_1,Pyrola asarifolia,forbs,forbs,0.1
1146,76215_2,Pyrola grandiflora,forbs,forbs,3
1180,76215_3,Pyrola grandiflora,forbs,forbs,2
1210,76215_1,Pyrola grandiflora,forbs,forbs,5
1255,76287_3,Pyrola grandiflora,forbs,forbs,1
1359,76749_3,Pyrola grandiflora,forbs,forbs,0.1
1403,76749_5,Pyrola grandiflora,forbs,forbs,1
1269,76287_3,Pyrola secunda,forbs,forbs,0.1
1360,76749_3,Ranunculus lapponicus,forbs,forbs,0.1
1410,76749_5,Ranunculus lapponicus,forbs,forbs,0.1
1494,76777_1,Ranunculus lapponicus,forbs,forbs,0.1
1522,76287_1,Rosa acicularis,deciduous shrubs,low shrub,28
1178,76215_3,Rubus chamaemorus,forbs,forbs,3
1209,76215_1,Rubus chamaemorus,forbs,forbs,7
1398,76749_5,Rubus chamaemorus,forbs,forbs,5
1431,76160_1,Rubus chamaemorus,forbs,forbs,0.1
1440,76168_1,Rubus chamaemorus,forbs,forbs,3
1460,76203_1,Rubus chamaemorus,forbs,forbs,8
1570,76167,Rubus chamaemorus,forbs,forbs,5
1577,76161,Rubus chamaemorus,forbs,forbs,30
1588,76176a_1,Rubus chamaemorus,forbs,forbs,5
1110,76287_2,Salix alaxensis,deciduous shrubs,tall shrub,35
1238,76287_3,Salix alaxensis,deciduous shrubs,tall shrub,40
1277,76777_3,Salix alaxensis,deciduous shrubs,tall shrub,45
1312,76777_2,Salix alaxensis,deciduous shrubs,tall shrub,60
1466,76784_1,Salix alaxensis,deciduous shrubs,tall shrub,45
1475,76777_1,Salix alaxensis,deciduous shrubs,tall shrub,30
1504,76327_1,Salix alaxensis,deciduous shrubs,tall shrub,35
1510,76305_1,Salix alaxensis,deciduous shrubs,tall shrub,40
1521,76287_1,Salix alaxensis,deciduous shrubs,tall shrub,50
1111,76287_2,Salix arbusculoides,deciduous shrubs,tall shrub,30
1245,76287_3,Salix arbusculoides,deciduous shrubs,tall shrub,3
1281,76777_3,Salix arbusculoides,deciduous shrubs,tall shrub,2
1523,76287_1,Salix arbusculoides,deciduous shrubs,tall shrub,25
1141,76215_2,Salix chamissonis,deciduous shrubs,dwarf shrub,15
1168,76215_3,Salix chamissonis,deciduous shrubs,dwarf shrub,10
1204,76215_1,Salix chamissonis,deciduous shrubs,dwarf shrub,8
1437,76168_1,Salix chamissonis,deciduous shrubs,dwarf shrub,5
1456,76203_1,Salix chamissonis,deciduous shrubs,dwarf shrub,10
1565,76167,Salix chamissonis,deciduous shrubs,dwarf shrub,10
1576,76161,Salix chamissonis,deciduous shrubs,dwarf shrub,5
1249,76287_3,Salix niphoclada,deciduous shrubs,low shrub,0.1
1285,76777_3,Salix niphoclada,deciduous shrubs,low shrub,1
1526,76287_1,Salix niphoclada,deciduous shrubs,low shrub,1
1239,76287_3,Salix pseudomonticola,deciduous shrubs,low shrub,28
1279,76777_3,Salix pseudomonticola,deciduous shrubs,low shrub,3
1313,76777_2,Salix pseudomonticola,deciduous shrubs,low shrub,15
1374,76749_1,Salix pseudomonticola,deciduous shrubs,low shrub,10
1396,76749_5,Salix pseudomonticola,deciduous shrubs,low shrub,3
1477,76777_1,Salix pseudomonticola,deciduous shrubs,low shrub,15
1506,76327_1,Salix pseudomonticola,deciduous shrubs,low shrub,5
1511,76305_1,Salix pseudomonticola,deciduous shrubs,low shrub,25
1529,76287_1,Salix pseudomonticola,deciduous shrubs,low shrub,0.1
1140,76215_2,Salix pulchra,deciduous shrubs,low shrub,45
1167,76215_3,Salix pulchra,deciduous shrubs,low shrub,45
1202,76215_1,Salix pulchra,deciduous shrubs,low shrub,45
1242,76287_3,Salix pulchra,deciduous shrubs,low shrub,5
1280,76777_3,Salix pulchra,deciduous shrubs,low shrub,3
1347,76749_3,Salix pulchra,deciduous shrubs,low shrub,30
1373,76749_1,Salix pulchra,deciduous shrubs,low shrub,60
1393,76749_5,Salix pulchra,deciduous shrubs,low shrub,50
1427,76160_1,Salix pulchra,deciduous shrubs,low shrub,12
1435,76168_1,Salix pulchra,deciduous shrubs,low shrub,30
1444,76208_1,Salix pulchra,deciduous shrubs,low shrub,40
1455,76203_1,Salix pulchra,deciduous shrubs,low shrub,60
1478,76777_1,Salix pulchra,deciduous shrubs,low shrub,10
1514,76305_1,Salix pulchra,deciduous shrubs,low shrub,5
1524,76287_1,Salix pulchra,deciduous shrubs,low shrub,3
1564,76167,Salix pulchra,deciduous shrubs,low shrub,60
1574,76161,Salix pulchra,deciduous shrubs,low shrub,40
1584,76176a_1,Salix pulchra,deciduous shrubs,low shrub,20
1591,76172_1,Salix pulchra,deciduous shrubs,low shrub,15
1142,76215_2,Salix reticulata,deciduous shrubs,prostrate shrub,3
1169,76215_3,Salix reticulata,deciduous shrubs,prostrate shrub,8
1208,76215_1,Salix reticulata,deciduous shrubs,prostrate shrub,0.1
1446,76208_1,Salix reticulata,deciduous shrubs,prostrate shrub,5
1458,76203_1,Salix reticulata,deciduous shrubs,prostrate shrub,5
1203,76215_1,Salix richardsonii,deciduous shrubs,low shrub,10
1241,76287_3,Salix richardsonii,deciduous shrubs,low shrub,10
1282,76777_3,Salix richardsonii,deciduous shrubs,low shrub,2
1314,76777_2,Salix richardsonii,deciduous shrubs,low shrub,3
1468,76784_1,Salix richardsonii,deciduous shrubs,low shrub,10
1476,76777_1,Salix richardsonii,deciduous shrubs,low shrub,30
1505,76327_1,Salix richardsonii,deciduous shrubs,low shrub,20
1512,76305_1,Salix richardsonii,deciduous shrubs,low shrub,15
1136,76287_2,Sanionia uncinata,mosses,mosses,5
1161,76215_2,Sanionia uncinata,mosses,mosses,15
1195,76215_3,Sanionia uncinata,mosses,mosses,15
1233,76215_1,Sanionia uncinata,mosses,mosses,3
1304,76777_3,Sanionia uncinata,mosses,mosses,10
1339,76777_2,Sanionia uncinata,mosses,mosses,30
1371,76749_3,Sanionia uncinata,mosses,mosses,3
1391,76749_1,Sanionia uncinata,mosses,mosses,3
1418,76749_5,Sanionia uncinata,mosses,mosses,7
1451,76208_1,Sanionia uncinata,mosses,mosses,15
1499,76777_1,Sanionia uncinata,mosses,mosses,30
1509,76327_1,Sanionia uncinata,mosses,mosses,30
1520,76305_1,Sanionia uncinata,mosses,mosses,3
1557,76287_1,Sanionia uncinata,mosses,mosses,5
1323,76777_2,Saussurea angustifolia,forbs,forbs,3
1361,76749_3,Saussurea angustifolia,forbs,forbs,0.1
1131,76287_2,Saxifraga punctata,forbs,forbs,0.1
1221,76215_1,Saxifraga punctata,forbs,forbs,0.1
1270,76287_3,Saxifraga punctata,forbs,forbs,0.1
1362,76749_3,Saxifraga punctata,forbs,forbs,0.1
1411,76749_5,Saxifraga punctata,forbs,forbs,0.1
1551,76287_1,Saxifraga punctata,forbs,forbs,0.1
1278,76777_3,Shepherdia canadensis,deciduous shrubs,low shrub,20
1315,76777_2,Shepherdia canadensis,deciduous shrubs,low shrub,3
1467,76784_1,Shepherdia canadensis,deciduous shrubs,low shrub,45
1479,76777_1,Shepherdia canadensis,deciduous shrubs,low shrub,1
1120,76287_2,Solidago multiradiata,forbs,forbs,1
1222,76215_1,Solidago multiradiata,forbs,forbs,0.1
1271,76287_3,Solidago multiradiata,forbs,forbs,0.1
1287,76777_3,Solidago multiradiata,forbs,forbs,5
1495,76777_1,Solidago multiradiata,forbs,forbs,0.1
1535,76287_1,Solidago multiradiata,forbs,forbs,3
1160,76215_2,Sphagnum sp.,mosses,mosses,20
1194,76215_3,Sphagnum sp.,mosses,mosses,30
1229,76215_1,Sphagnum sp.,mosses,mosses,5
1365,76749_3,Sphagnum sp.,mosses,mosses,30
1415,76749_5,Sphagnum sp.,mosses,mosses,20
1434,76160_1,Sphagnum sp.,mosses,mosses,5
1441,76168_1,Sphagnum sp.,mosses,mosses,40
1453,76208_1,Sphagnum sp.,mosses,mosses,5
1463,76203_1,Sphagnum sp.,mosses,mosses,15
1583,76161,Sphagnum sp.,mosses,mosses,25
1192,76215_3,Stellaria sp.,forbs,forbs,0.1
1223,76215_1,Stellaria sp.,forbs,forbs,0.1
1299,76777_3,Stellaria sp.,forbs,forbs,0.1
1334,76777_2,Stellaria sp.,forbs,forbs,0.1
1363,76749_3,Stellaria sp.,forbs,forbs,0.1
1385,76749_1,Stellaria sp.,forbs,forbs,0.1
1412,76749_5,Stellaria sp.,forbs,forbs,0.1
1538,76287_1,Stellaria sp.,forbs,forbs,2
1311,76777_3,Stereocaulon sp.,lichens,lichens,0.1
1224,76215_1,Thalictrum alpinum,forbs,forbs,0.1
1165,76215_2,Tomentypnum nitens,mosses,mosses,2
1234,76215_1,Tomentypnum nitens,mosses,mosses,3
1335,76777_2,Trientalis europaea,forbs,forbs,0.1
1300,76777_3,Trisetum spicatum,grasses,grasses,0.1
1336,76777_2,Trisetum spicatum,grasses,grasses,0.1
1143,76215_2,Vaccinium uliginosum,deciduous shrubs,low shrub,3
1171,76215_3,Vaccinium uliginosum,deciduous shrubs,low shrub,3
1206,76215_1,Vaccinium uliginosum,deciduous shrubs,low shrub,3
1240,76287_3,Vaccinium uliginosum,deciduous shrubs,low shrub,15
1286,76777_3,Vaccinium uliginosum,deciduous shrubs,low shrub,1
1349,76749_3,Vaccinium uliginosum,deciduous shrubs,low shrub,10
1376,76749_1,Vaccinium uliginosum,deciduous shrubs,low shrub,0.1
1507,76327_1,Vaccinium uliginosum,deciduous shrubs,low shrub,3
1513,76305_1,Vaccinium uliginosum,deciduous shrubs,low shrub,10
1525,76287_1,Vaccinium uliginosum,deciduous shrubs,low shrub,2
1566,76167,Vaccinium uliginosum,deciduous shrubs,low shrub,10
1592,76172_1,Vaccinium uliginosum,deciduous shrubs,low shrub,15
1144,76215_2,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,2
1170,76215_3,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,5
1246,76287_3,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,2
1351,76749_3,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,2
1397,76749_5,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,3
1447,76208_1,Vaccinium vitis-idaea,evergreen shrubs,dwarf shrub,3
1121,76287_2,Valeriana capitata,forbs,forbs,1
1158,76215_2,Valeriana capitata,forbs,forbs,0.1
1193,76215_3,Valeriana capitata,forbs,forbs,0.1
1225,76215_1,Valeriana capitata,forbs,forbs,0.1
1272,76287_3,Valeriana capitata,forbs,forbs,0.1
1337,76777_2,Valeriana capitata,forbs,forbs,0.1
1379,76749_1,Valeriana capitata,forbs,forbs,3
1413,76749_5,Valeriana capitata,forbs,forbs,0.1
1450,76208_1,Valeriana capitata,forbs,forbs,1
1496,76777_1,Valeriana capitata,forbs,forbs,0.1
1552,76287_1,Valeriana capitata,forbs,forbs,0.1
1582,76161,Valeriana capitata,forbs,forbs,3
1132,76287_2,Viola sp.,forbs,forbs,0.1
1338,76777_2,Wilhelmsia physodes,forbs,forbs,0.1
1386,76749_1,Wilhelmsia physodes,forbs,forbs,0.1
1497,76777_1,Wilhelmsia physodes,forbs,forbs,0.1
1553,76287_1,Wilhelmsia physodes,forbs,forbs,0.1
1301,76777_3,Zygadenus elegans,forbs,forbs,0.1
1498,76777_1,Zygadenus elegans,forbs,forbs,0.1